,Shareholding in CCASS,Shares Percentage,Stock Name,Stock code
0,"                                132,662,992                            ",                                0.47%                            ,"                                SHANGHAI PUDONG DEVELOPMENT BANK CO., LTD. (A #600000)                            ",                                90000                            
1,"                                66,166,662                            ",                                4.63%                            ,"                                GUANGZHOU BAIYUN INTERNATIONAL AIRPORT CO.,LTD. (A #600004)                            ",                                90004                            
2,"                                176,031                            ",                                0.00%                            ,"                                DONGFENG AUTOMOBILE CO.,LTD (A #600006)                            ",                                90006                            
3,"                                8,314,670                            ",                                0.82%                            ,                                CHINA WORLD TRADE CENTER COMPANY LTD. (A #600007)                            ,                                90007                            
4,"                                48,402,486                            ",                                1.00%                            ,"                                BEIJING CAPITAL CO.,LTD (A #600008)                            ",                                90008                            
5,"                                304,135,062                            ",                                27.81%                            ,"                                SHANGHAI INTERNATIONAL AIRPORT CO., LTD. (A #600009)                            ",                                90009                            
6,"                                40,228,444                            ",                                0.18%                            ,"                                INNER MONGOLIA BAOTOU STEEL UNION CO.,LTD. (A #600010)                            ",                                90010                            
7,"                                8,395,602                            ",                                0.07%                            ,"                                HUANENG POWER INTERNATIONAL, INC. (A #600011)                            ",                                90011                            
8,"                                2,075,070                            ",                                0.17%                            ,                                ANHUI EXPRESSWAY COMPANY LIMITED (A #600012)                            ,                                90012                            
9,"                                17,723,484                            ",                                0.13%                            ,"                                HUA XIA BANK CO., LIMITED (A #600015)                            ",                                90015                            
10,"                                167,980,994                            ",                                0.56%                            ,"                                CHINA MINSHENG BANKING CORP., LTD. (A #600016)                            ",                                90016                            
11,"                                39,086,498                            ",                                1.27%                            ,"                                RIZHAO PORT CO.,LTD. (A #600017)                            ",                                90017                            
12,"                                33,325,219                            ",                                0.14%                            ,"                                SHANGHAI INTERNATIONAL PORT (GROUP) CO., LTD (A #600018)                            ",                                90018                            
13,"                                235,960,413                            ",                                1.06%                            ,"                                BAOSHAN IRON & STEEL CO., LTD. (A #600019)                            ",                                90019                            
14,"                                13,503,382                            ",                                0.60%                            ,                                HENAN ZHONGYUAN EXPRESSWAY COMPANY LIMITED (A #600020)                            ,                                90020                            
15,"                                3,025,454                            ",                                0.14%                            ,                                SHANGHAI ELECTRIC POWER COMPANY LIMITED (A #600021)                            ,                                90021                            
16,"                                16,271,782                            ",                                0.11%                            ,"                                ZHEJIANG ZHENENG ELECTRIC POWER CO.,LTD (A #600023)                            ",                                90023                            
17,"                                2,311,980                            ",                                0.08%                            ,"                                COSCO SHIPPING ENERGY TRANSPORTATION CO., LTD. (A #600026)                            ",                                90026                            
18,"                                5,750,339                            ",                                0.08%                            ,                                HUADIAN POWER INTERNATIONAL CORPORATION LIMITED (A #600027)                            ,                                90027                            
19,"                                352,130,186                            ",                                0.36%                            ,                                CHINA PETROLEUM AND CHEMICAL CORPORATION (A #600028)                            ,                                90028                            
20,"                                19,885,268                            ",                                0.28%                            ,                                CHINA SOUTHERN AIRLINES COMPANY LIMITED (A #600029)                            ,                                90029                            
21,"                                139,083,277                            ",                                1.41%                            ,                                CITIC SECURITIES COMPANY LIMITED (A #600030)                            ,                                90030                            
22,"                                206,786,634                            ",                                2.72%                            ,"                                SANY HEAVY INDUSTRY CO.,LTD (A #600031)                            ",                                90031                            
23,"                                7,257,458                            ",                                0.26%                            ,                                FUJIAN EXPRESSWAY DEVELOPMENT COMPANY LIMITED (A #600033)                            ,                                90033                            
24,"                                268,104,066                            ",                                1.29%                            ,"                                CHINA MERCHANTS BANK CO.,LIMITED (A #600036)                            ",                                90036                            
25,"                                4,425,589                            ",                                0.37%                            ,"                                BEIJING GEHUA CATV NETWORK CO., LTD. (A #600037)                            ",                                90037                            
26,"                                3,507,208                            ",                                0.59%                            ,                                AVICOPTER PLC (A #600038)                            ,                                90038                            
27,"                                8,194,920                            ",                                0.27%                            ,"                                SICHUAN ROAD & BRIDGE CO.,LTD (A #600039)                            ",                                90039                            
28,"                                135,204,974                            ",                                1.15%                            ,"                                POLY REAL ESTATE GROUP CO.,LTD (A #600048)                            ",                                90048                            
29,"                                85,504,459                            ",                                0.40%                            ,                                CHINA UNITED NETWORK COMMUNICATIONS LIMITED (A #600050)                            ,                                90050                            
30,"                                687,737                            ",                                0.15%                            ,"                                KUNWU JIUDING INVESTMENT HOLDINGS CO., LTD (A #600053)                            ",                                90053                            
31,"                                9,560,060                            ",                                1.86%                            ,"                                HUANGSHAN TOURISM DEVELOPMENT CO.,LTD. (A #600054)                            ",                                90054                            
32,"                                5,007,944                            ",                                0.49%                            ,"                                CHINA MEHECO CO., LTD. (A #600056)                            ",                                90056                            
33,"                                177,950                            ",                                0.01%                            ,"                                MINMETALS DEVELOPMENT CO., LTD. (A #600058)                            ",                                90058                            
34,"                                1,292,265                            ",                                0.15%                            ,                                ZHEJIANG GUYUELONGSHAN SHAOXING WINE CO.LTD (A #600059)                            ,                                90059                            
35,"                                4,108,431                            ",                                0.31%                            ,"                                HISENSE ELECTRIC CO.,LTD. (A #600060)                            ",                                90060                            
36,"                                1,632,797                            ",                                0.08%                            ,"                                SDIC ESSENCE (HOLDINGS) CO.,LTD (A #600061)                            ",                                90061                            
37,"                                3,348,830                            ",                                0.58%                            ,"                                CHINA RESOURCES DOUBLE-CRANE PHARMACEUTICAL CO.,LTD. (A #600062)                            ",                                90062                            
38,"                                1,885,772                            ",                                0.12%                            ,                                ANHUI WANWEI UPDATED HIGH-TECH MATERIAL INDUSTRY COMPANY LIMITED (A #600063)                            ,                                90063                            
39,"                                918,937                            ",                                0.11%                            ,                                NANJING GAOKE COMPANY LIMITED (A #600064)                            ,                                90064                            
40,"                                245,729,659                            ",                                12.90%                            ,"                                ZHENGZHOU YUTONG BUS CO.,LTD. (A #600066)                            ",                                90066                            
41,"                                1,237,883                            ",                                0.08%                            ,"                                CITYCHAMP DARTONG CO.,LTD. (A #600067)                            ",                                90067                            
42,"                                21,864,035                            ",                                0.47%                            ,                                CHINA GEZHOUBA GROUP COMPANY LIMITED (A #600068)                            ,                                90068                            
43,"                                1,459,825                            ",                                0.15%                            ,                                SHANGHAI MALING AQUARIUS CO.LTD (A #600073)                            ,                                90073                            
44,"                                2,131,350                            ",                                0.23%                            ,"                                JIANGSU PROTRULY VISION TECHNOLOGY GROUP CO.,LTD. (A #600074)                            ",                                90074                            
45,"                                107,930                            ",                                0.01%                            ,"                                XINJIANG TIANYE CO.,LTD. (A #600075)                            ",                                90075                            
46,"                                420,916                            ",                                0.03%                            ,"                                SUNDY LAND INVESTMENT CO.,LTD. (A #600077)                            ",                                90077                            
47,"                                7,423                            ",                                0.00%                            ,"                                JIANGSU CHENGXING PHOSPH-CHEMICAL CO.,LTD (A #600078)                            ",                                90078                            
48,"                                13,816,917                            ",                                1.30%                            ,"                                HUMANWELL HEALTHCARE (GROUP) CO.,LTD. (A #600079)                            ",                                90079                            
49,"                                19,278                            ",                                0.00%                            ,                                GINWA ENTERPRISE(GRPUP) INC. (A #600080)                            ,                                90080                            
50,"                                795,752                            ",                                0.25%                            ,"                                DONG FENG ELECTRONIC TECHNOLOGY CO.,LITD. (A #600081)                            ",                                90081                            
51,"                                4,358,971                            ",                                0.31%                            ,"                                BEIJING TONGRENTANG CO.,LTD (A #600085)                            ",                                90085                            
52,"                                76,638                            ",                                0.00%                            ,                                EASTERN GOLD JADE COMPANY LIMITED (A #600086)                            ,                                90086                            
53,"                                202,239                            ",                                0.06%                            ,"                                CHINA TELEVISION MEDIA,LTD. (A #600088)                            ",                                90088                            
54,"                                29,142,773                            ",                                0.79%                            ,"                                TBEA CO.,LTD. (A #600089)                            ",                                90089                            
55,"                                181,416                            ",                                0.05%                            ,"                                EASYSIGHT SUPPLY CHAIN MANAGEMENT CO., LTD. (A #600093)                            ",                                90093                            
56,"                                3,305,343                            ",                                0.18%                            ,                                GREATTOWN HOLDINGS LTD. (A #600094)                            ,                                90094                            
57,"                                206,761                            ",                                0.01%                            ,"                                YUNNAN YUNTIANHUA CO.,LTD (A #600096)                            ",                                90096                            
58,"                                1,844,876                            ",                                0.06%                            ,                                GUANGZHOU DEVELOPMENT GROUP INCORPORATED (A #600098)                            ,                                90098                            
59,"                                6,395,822                            ",                                0.29%                            ,"                                TSINGHUA TONGFANG CO., LTD (A #600100)                            ",                                90100                            
60,"                                609,585                            ",                                0.18%                            ,"                                SICHUAN MINGXING ELECTRIC POWER CO.,LTD (A #600101)                            ",                                90101                            
61,"                                205,309,960                            ",                                1.86%                            ,                                SAIC MOTOR CORPORATION LIMITED (A #600104)                            ,                                90104                            
62,"                                298,180                            ",                                0.03%                            ,"                                JIANGSU ETERN CO., LTD. (A #600105)                            ",                                90105                            
63,"                                1,398,955                            ",                                0.14%                            ,"                                CHONGQING ROAD & BRIDGE CO.,LTD (A #600106)                            ",                                90106                            
64,"                                2,287,956                            ",                                0.11%                            ,"                                GANSU YASHENG INDUSTRIAL (GROUP) CO.,LTD (A #600108)                            ",                                90108                            
65,"                                18,725,371                            ",                                0.61%                            ,"                                SINOLINK SECURITIES CO., LTD. (A #600109)                            ",                                90109                            
66,"                                15,620                            ",                                0.00%                            ,"                                NUODE INVESTMENT CO., LTD. (A #600110)                            ",                                90110                            
67,"                                9,139,370                            ",                                0.25%                            ,"                                CHINA NORTHERN RARE EARTH (GROUP) HIGH-TECH CO., LTD (A #600111)                            ",                                90111                            
68,"                                1,104,383                            ",                                0.21%                            ,"                                GUIZHOU CHANGZHENG TIANCHENG HOLDING CO.,LTD. (A #600112)                            ",                                90112                            
69,"                                21,087                            ",                                0.00%                            ,"                                ZHEJIANG DONG RI CO., LTD (A #600113)                            ",                                90113                            
70,"                                2,074,211                            ",                                0.54%                            ,"                                NBTM NEW MATERIALS GROUP CO., LTD. (A #600114)                            ",                                90114                            
71,"                                9,529,091                            ",                                0.09%                            ,                                CHINA EASTERN AIRLINES CORPORATION LIMITED (A #600115)                            ,                                90115                            
72,"                                909,828                            ",                                0.10%                            ,                                CHONGQING THREE GORGES WATERCONSERVANCY & ELECTRIC POWER CO LTD (A #600116)                            ,                                90116                            
73,"                                2,690,621                            ",                                0.22%                            ,"                                CHINA SPACESAT CO.,LTD. (A #600118)                            ",                                90118                            
74,"                                963,306                            ",                                0.31%                            ,"                                Y.U.D YANGTZE RIVER INVESTMENT INDUSTRY CO.,LTD. (A #600119)                            ",                                90119                            
75,"                                458,574                            ",                                0.09%                            ,"                                ZHEJIANG ORIENT HOLDINGS CO.,LTD. (A #600120)                            ",                                90120                            
76,                                400                            ,                                0.00%                            ,"                                ZHENGZHOU COAL INDUSTRY & ELECTRIC POWER CO.,LTD. (A #600121)                            ",                                90121                            
77,"                                2,460,542                            ",                                0.21%                            ,"                                JIANGSU HONGTU HIGH TECHNOLOGY CO.,LTD. (A #600122)                            ",                                90122                            
78,"                                1,344,944                            ",                                0.11%                            ,"                                SHANXI LANHUA SCI-TECH VENTURE CO.,LTD (A #600123)                            ",                                90123                            
79,"                                22,433,009                            ",                                1.71%                            ,"                                CHINA RAILWAY TIELONG CONTAINER LOGISTICS CO., LTD (A #600125)                            ",                                90125                            
80,"                                164,399                            ",                                0.03%                            ,                                CHONG QING BREWERY CO.LTD (A #600132)                            ,                                90132                            
81,"                                328,823                            ",                                0.08%                            ,"                                LUCKY FILM COMPANY,LIMITED (A #600135)                            ",                                90135                            
82,"                                25,283,856                            ",                                3.49%                            ,"                                CHINA CYTS TOURS HOLDING CO.,LTD. (A #600138)                            ",                                90138                            
83,"                                970,670                            ",                                0.20%                            ,"                                HUBEI XINGFA CHEMICALS GROUP CO.,LTD. (A #600141)                            ",                                90141                            
84,"                                7,265,124                            ",                                0.28%                            ,"                                KINGFA SCI.&TECH.; CO.,LTD. (A #600143)                            ",                                90143                            
85,"                                4,920,384                            ",                                0.35%                            ,                                CHINA CSSC HOLDINGS LIMITED (A #600150)                            ,                                90150                            
86,"                                4,120,593                            ",                                0.14%                            ,                                XIAMEN C&D; INC. (A #600153)                            ,                                90153                            
87,"                                18,460,250                            ",                                0.31%                            ,"                                WINTIME ENERGY CO.,LTD. (A #600157)                            ",                                90157                            
88,"                                1,561,523                            ",                                0.23%                            ,"                                CHINA SPORTS INDUSTRY GROUP CO., LTD. (A #600158)                            ",                                90158                            
89,"                                6,841,804                            ",                                0.37%                            ,"                                ZHEJIANG JUHUA CO.,LTD. (A #600160)                            ",                                90160                            
90,"                                589,578                            ",                                0.08%                            ,                                BEIJING TIANTAN BIOLOGICAL PRODUCTS CORPORATION LIMITED (A #600161)                            ,                                90161                            
91,"                                5,760,121                            ",                                0.32%                            ,"                                SHENZHEN HEUNGKONG HOLDING CO., LTD (A #600162)                            ",                                90162                            
92,"                                6,764,842                            ",                                0.10%                            ,"                                BEIQI FOTON MOTOR CO.,LTD. (A #600166)                            ",                                90166                            
93,"                                518,341                            ",                                0.24%                            ,"                                LUENMEI QUANTUM CO.,LTD (A #600167)                            ",                                90167                            
94,"                                510,837                            ",                                0.07%                            ,"                                WUHAN SANZHEN INDUSTRY HOLDING CO.,LTD (A #600168)                            ",                                90168                            
95,"                                2,854,116                            ",                                0.11%                            ,"                                TAIYUAN HEAVY INDUSTRY CO.,LTD. (A #600169)                            ",                                90169                            
96,"                                11,437,134                            ",                                0.13%                            ,"                                SHANGHAI CONSTRUCTION GROUP CO., LTD (A #600170)                            ",                                90170                            
97,"                                2,563,355                            ",                                0.38%                            ,"                                SHANGHAI BELLING CO.,LTD. (A #600171)                            ",                                90171                            
98,"                                4,435,776                            ",                                0.38%                            ,"                                HENAN HUANGHE WHIRLWIND CO.,LTD. (A #600172)                            ",                                90172                            
99,"                                1,042,874                            ",                                0.14%                            ,"                                WOLONG REAL ESTATE GROUP CO.,LTD. (A #600173)                            ",                                90173                            
100,"                                3,650,501                            ",                                0.25%                            ,                                MEIDU ENERGY CORPORATION (A #600175)                            ,                                90175                            
101,"                                50,707,834                            ",                                1.73%                            ,"                                CHINA JUSHI CO., LTD. (A #600176)                            ",                                90176                            
102,"                                13,754,000                            ",                                0.38%                            ,"                                YOUNGOR GROUP CO.,LTD. (A #600177)                            ",                                90177                            
103,"                                4,019,804                            ",                                0.45%                            ,"                                CCS SUPPLY CHAIN MANAGEMENT CO., LTD. (A #600180)                            ",                                90180                            
104,"                                5,768,822                            ",                                0.39%                            ,"                                SHENGYI TECHNOLOGY CO., LTD. (A #600183)                            ",                                90183                            
105,"                                2,578,558                            ",                                0.15%                            ,"                                GREE REAL ESTATE CO.,LTD (A #600185)                            ",                                90185                            
106,"                                5,732,459                            ",                                0.19%                            ,                                YANZHOU COAL MINING COMPANY LIMITED (A #600188)                            ,                                90188                            
107,"                                1,325,924                            ",                                0.07%                            ,"                                JINZHOU PORT CO.,LTD. (A #600190)                            ",                                90190                            
108,"                                921,955                            ",                                0.21%                            ,"                                CHINA ANIMAL HUSBANDRY INDUSTRY CO.,LTD. (A #600195)                            ",                                90195                            
109,"                                22,106,664                            ",                                1.15%                            ,"                                SHANGHAI FOSUN PHARMACEUTICAL (GROUP) CO., LTD. (A #600196)                            ",                                90196                            
110,"                                3,678,185                            ",                                0.83%                            ,"                                XINJIANG YILITE INDUSTRY CO.,LTD (A #600197)                            ",                                90197                            
111,"                                1,143,418                            ",                                0.17%                            ,"                                JIANGSU WUZHONG INDUSTRIAL CO.,LTD. (A #600200)                            ",                                90200                            
112,"                                3,147,004                            ",                                0.54%                            ,"                                INNER MONGOLIA JINYU GROUP CO., LTD (A #600201)                            ",                                90201                            
113,"                                1,117,878                            ",                                0.13%                            ,"                                GRINM ADVANCED MATERIALS CO.,LTD. (A #600206)                            ",                                90206                            
114,"                                18,175,204                            ",                                0.21%                            ,"                                XINHU ZHONGBAO CO.,LTD (A #600208)                            ",                                90208                            
115,"                                2,632,056                            ",                                0.18%                            ,"                                SHANGHAI ZIJIANG ENTERPRISE GROUP CO.,LTD (A #600210)                            ",                                90210                            
116,"                                787,664                            ",                                0.08%                            ,"                                ZHEJIANG MEDICINE CO.,LTD (A #600216)                            ",                                90216                            
117,                                176                            ,                                0.00%                            ,"                                ANHUI QUANCHAI ENGINE CO.,LTD. (A #600218)                            ",                                90218                            
118,"                                63,557,324                            ",                                0.89%                            ,"                                SHANDONG NANSHAN ALUMINIUM CO., LTD (A #600219)                            ",                                90219                            
119,"                                22,254,449                            ",                                0.18%                            ,"                                HAINAN AIRLINES HOLDING CO., LTD. (A #600221)                            ",                                90221                            
120,"                                401,174                            ",                                0.03%                            ,"                                ZHEJIANG HUGE LEAF CO.,LTD. (A #600226)                            ",                                90226                            
121,                                101                            ,                                0.00%                            ,                                CANGZHOU DAHUA CO.LTD (A #600230)                            ,                                90230                            
122,"                                862,585                            ",                                0.26%                            ,"                                YTO EXPRESS GROUP CO.,LTD. (A #600233)                            ",                                90233                            
123,"                                2,785,618                            ",                                0.07%                            ,"                                GUANGXI GUIGUAN ELECTRIC POWER CO.,LTD. (A #600236)                            ",                                90236                            
124,"                                12,700                            ",                                0.00%                            ,"                                HAINAN YEDAO (GROUP) CO.,LTD (A #600238)                            ",                                90238                            
125,"                                11,380,476                            ",                                0.70%                            ,"                                YUNNAN METROPOLITAN REAL ESTATE DEVELOPMENT CO.,LTD (A #600239)                            ",                                90239                            
126,"                                3,576,031                            ",                                0.25%                            ,"                                BEIJING HOMYEAR CAPITAL HOLDINGS CO.,LTD (A #600240)                            ",                                90240                            
127,"                                3,300                            ",                                0.00%                            ,"                                BEIJING VANTONE REAL ESTATE CO.,LTD. (A #600246)                            ",                                90246                            
128,"                                4,471                            ",                                0.00%                            ,"                                SHAANXI YANCHANG PETROLEUM CHEMICAL ENGINEERING CO.,LTD. (A #600248)                            ",                                90248                            
129,"                                2,865,951                            ",                                0.36%                            ,"                                XINGJIANG GUANNONG FRUIT & ANTLER GROUP CO., LTD. (A #600251)                            ",                                90251                            
