,Shareholding in CCASS,Shares Percentage,Stock Name,Stock code
0,"                                11,678,218                            ",                                0.30%                            ,                                CK HUTCHISON HOLDINGS LIMITED                            ,                                    1                            
1,"                                3,157,300                            ",                                0.11%                            ,                                CLP HOLDINGS LIMITED                            ,                                    2                            
2,"                                17,204,763                            ",                                0.11%                            ,"                                HONG KONG AND CHINA GAS COMPANY LIMITED, THE                            ",                                    3                            
3,"                                2,952,000                            ",                                0.09%                            ,"                                WHARF (HOLDINGS) LIMITED, THE                            ",                                    4                            
4,"                                1,006,838,057                            ",                                4.94%                            ,                                HSBC HOLDINGS PLC                            ,                                    5                            
5,"                                7,202,500                            ",                                0.33%                            ,                                POWER ASSETS HOLDINGS LIMITED                            ,                                    6                            
6,"                                6,496,323                            ",                                0.07%                            ,                                PCCW LIMITED                            ,                                    8                            
7,"                                1,089,000                            ",                                0.07%                            ,                                HANG LUNG GROUP LIMITED                            ,                                   10                            
8,"                                1,723,900                            ",                                0.08%                            ,                                HANG SENG BANK LTD                            ,                                   11                            
9,"                                4,608,114                            ",                                0.11%                            ,                                HENDERSON LAND DEVELOPMENT CO LTD                            ,                                   12                            
10,"                                800,000                            ",                                0.07%                            ,                                HYSAN DEVELOPMENT COMPANY LIMITED                            ,                                   14                            
11,"                                4,582,338                            ",                                0.15%                            ,                                SUN HUNG KAI PROPERTIES LTD                            ,                                   16                            
12,"                                30,367,339                            ",                                0.30%                            ,                                NEW WORLD DEVELOPMENT CO LTD                            ,                                   17                            
13,"                                1,247,000                            ",                                0.13%                            ,                                SWIRE PACIFIC LTD 'A'                            ,                                   19                            
14,"                                998,572                            ",                                0.04%                            ,                                WHEELOCK AND COMPANY LIMITED                            ,                                   20                            
15,"                                3,644,878                            ",                                0.13%                            ,                                BANK OF EAST ASIA LTD                            ,                                   23                            
16,"                                23,768,222                            ",                                0.54%                            ,                                GALAXY ENTERTAINMENT GROUP LIMITED                            ,                                   27                            
17,"                                1,151,154                            ",                                0.05%                            ,                                FAR EAST CONSORTIUM INTERNATIONAL LTD                            ,                                   35                            
18,"                                60,074,100                            ",                                15.32%                            ,                                FIRST TRACTOR COMPANY LIMITED                            ,                                   38                            
19,"                                749,049                            ",                                0.10%                            ,                                GREAT EAGLE HOLDINGS LIMITED                            ,                                   41                            
20,"                                19,496,000                            ",                                7.55%                            ,                                NORTHEAST ELECTRIC DEVELOPMENT COMPANY LIMITED                            ,                                   42                            
21,"                                2,990,000                            ",                                0.00%                            ,                                C.P. POKPHAND CO LTD                            ,                                   43                            
22,"                                43,000                            ",                                0.00%                            ,                                HOPEWELL HOLDINGS LIMITED                            ,                                   54                            
23,"                                3,263,466                            ",                                0.05%                            ,                                MTR CORPORATION LIMITED                            ,                                   66                            
24,"                                31,940,000                            ",                                0.88%                            ,                                SHANGRI-LA ASIA LIMITED                            ,                                   69                            
25,"                                25,573,693                            ",                                1.12%                            ,                                CHINA OVERSEAS GRAND OCEANS GROUP LIMITED                            ,                                   81                            
26,"                                6,588,202                            ",                                0.10%                            ,                                SINO LAND CO.LTD.                            ,                                   83                            
27,"                                3,153,000                            ",                                0.14%                            ,                                SUN HUNG KAI & CO.LTD                            ,                                   86                            
28,"                                16,724,000                            ",                                0.35%                            ,                                LVGEM (CHINA) REAL ESTATE INVESTMENT COMPANY LIMITED                            ,                                   95                            
29,"                                5,099,000                            ",                                0.11%                            ,                                HANG LUNG PROPERTIES LIMITED                            ,                                  101                            
30,"                                213,508,000                            ",                                23.84%                            ,                                SICHUAN EXPRESSWAY COMPANY LIMITED                            ,                                  107                            
31,"                                60,600,000                            ",                                0.84%                            ,                                GOOD RESOURCES HOLDINGS LIMITED                            ,                                  109                            
32,"                                119,000                            ",                                0.01%                            ,                                CHOW SANG SANG HOLDINGS INTERNATIONAL LIMITED                            ,                                  116                            
33,"                                358,135,000                            ",                                9.77%                            ,"                                POLY PROPERTY GROUP CO., LIMITED                            ",                                  119                            
34,"                                382,714,000                            ",                                3.07%                            ,                                YUEXIU PROPERTY COMPANY LIMITED                            ,                                  123                            
35,"                                38,216,000                            ",                                0.46%                            ,                                KUNLUN ENERGY COMPANY LIMITED                            ,                                  135                            
36,"                                4,185,064,000                            ",                                5.60%                            ,                                HENGTEN NETWORKS GROUP LIMITED                            ,                                  136                            
37,"                                1,146,000                            ",                                0.02%                            ,                                FIRST PACIFIC CO. LTD.                            ,                                  142                            
38,"                                8,547,685                            ",                                0.26%                            ,                                CHINA MERCHANTS PORT HOLDINGS COMPANY LIMITED                            ,                                  144                            
39,"                                14,443,051                            ",                                1.34%                            ,                                KINGBOARD CHEMICAL HOLDINGS LIMITED                            ,                                  148                            
40,"                                46,102,446                            ",                                0.36%                            ,                                WANT WANT CHINA HOLDINGS LIMITED                            ,                                  151                            
41,"                                38,778,224                            ",                                1.90%                            ,                                SHENZHEN INTERNATIONAL HOLDINGS LIMITED                            ,                                  152                            
42,"                                3,928,000                            ",                                0.10%                            ,                                EMPEROR INTERNATIONAL HOLDINGS LIMITED                            ,                                  163                            
43,"                                102,789,743                            ",                                6.09%                            ,                                CHINA EVERBRIGHT LIMITED                            ,                                  165                            
44,"                                59,212,798                            ",                                9.03%                            ,                                TSINGTAO BREWERY COMPANY LIMITED                            ,                                  168                            
45,"                                42,931,527                            ",                                1.40%                            ,                                K. WAH INTERNATIONAL HOLDINGS LIMITED                            ,                                  173                            
